y0,y1
2,1
2.00499,0.995045
2.00996,0.990114
2.0149,0.985356
2.01982,0.980693
2.02472,0.976124
2.02959,0.971649
2.03445,0.967265
2.03928,0.962971
2.04409,0.958767
2.04887,0.95465
2.05364,0.95062
2.05839,0.946675
2.06312,0.942815
2.06783,0.939037
2.07252,0.935341
2.07719,0.931726
2.08185,0.92819
2.08648,0.924733
2.0911,0.921353
2.09571,0.918049
2.10029,0.914821
2.10486,0.911667
2.10942,0.908586
2.11396,0.905578
2.11848,0.90264
2.12299,0.899774
2.12749,0.896976
2.13197,0.894248
2.13644,0.891587
2.1409,0.888993
2.14534,0.886464
2.14977,0.884001
2.15419,0.881602
2.1586,0.879267
2.16299,0.876994
2.16737,0.874783
2.17175,0.872633
2.17611,0.870543
2.18046,0.868513
2.1848,0.866542
2.18914,0.864629
2.19346,0.862774
2.19777,0.860975
2.20208,0.859232
2.20637,0.857545
2.21066,0.855912
2.21494,0.854333
2.21921,0.852808
2.22348,0.851335
2.22774,0.849915
2.23199,0.848546
2.23623,0.847229
2.24047,0.845961
2.2447,0.844744
2.24892,0.843576
2.25314,0.842456
2.25736,0.841385
2.26156,0.840361
2.26577,0.839384
2.26997,0.838454
2.27416,0.83757
2.27835,0.836732
2.28254,0.835938
2.28672,0.835189
2.2909,0.834485
2.29507,0.833823
2.29924,0.833205
2.30341,0.83263
2.30758,0.832097
2.31174,0.831606
2.3159,0.831156
2.32006,0.830747
2.32422,0.830379
2.32837,0.830051
2.33253,0.829762
2.33668,0.829513
2.34083,0.829303
2.34498,0.829132
2.34913,0.828998
2.35328,0.828903
2.35743,0.828845
2.36158,0.828824
2.36572,0.828839
2.36987,0.828891
2.37402,0.828979
2.37817,0.829103
2.38232,0.829262
2.38647,0.829457
2.39062,0.829685
2.39478,0.829949
2.39893,0.830246
2.40309,0.830577
2.40725,0.830942
2.41141,0.83134
2.41557,0.831771
2.41973,0.832234
2.4239,0.83273
2.42807,0.833258
2.43224,0.833817
2.43641,0.834408
2.44059,0.835031
2.44477,0.835684
2.44896,0.836368
2.45315,0.837083
2.45734,0.837828
2.46153,0.838603
2.46573,0.839407
2.46993,0.840241
2.47414,0.841105
2.47835,0.841997
2.48257,0.842919
2.48679,0.843869
2.49102,0.844847
2.49525,0.845854
2.49948,0.846888
2.50373,0.847951
2.50797,0.849041
2.51223,0.850158
2.51648,0.851303
2.52075,0.852474
2.52502,0.853673
2.52929,0.854898
2.53357,0.856149
2.53786,0.857427
2.54216,0.858731
2.54646,0.860061
2.55077,0.861417
2.55508,0.862798
2.5594,0.864204
2.56373,0.865636
2.56807,0.867093
2.57241,0.868575
2.57676,0.870082
2.58112,0.871613
2.58549,0.873169
2.58986,0.874749
2.59424,0.876354
2.59863,0.877982
2.60303,0.879634
2.60744,0.881311
2.61185,0.883011
2.61628,0.884734
2.62071,0.886481
2.62515,0.888251
2.6296,0.890045
2.63406,0.891861
2.63853,0.8937
2.64301,0.895563
2.64749,0.897447
2.65199,0.899355
2.6565,0.901285
2.66101,0.903237
2.66554,0.905212
2.67007,0.907209
2.67462,0.909228
2.67918,0.911268
2.68374,0.913331
2.68832,0.915416
2.6929,0.917522
2.6975,0.91965
2.70211,0.921799
2.70673,0.92397
2.71136,0.926162
2.716,0.928375
2.72065,0.93061
2.72532,0.932865
2.72999,0.935142
2.73468,0.937439
2.73937,0.939758
2.74408,0.942097
2.7488,0.944457
2.75354,0.946838
2.75828,0.949239
2.76304,0.951661
2.76781,0.954103
2.77259,0.956565
2.77738,0.959048
2.78219,0.961551
2.78701,0.964075
2.79184,0.966618
2.79668,0.969182
2.80154,0.971766
2.80641,0.97437
2.8113,0.976993
2.81619,0.979637
2.8211,0.982301
2.82602,0.984984
2.83096,0.987687
2.83591,0.99041
2.84088,0.993152
2.84585,0.995914
2.85084,0.998696
2.85585,1.0015
2.86087,1.00432
2.8659,1.00716
2.87095,1.01002
2.87601,1.0129
2.88109,1.0158
2.88618,1.01871
2.89129,1.02165
2.89641,1.02461
2.90154,1.02758
2.90669,1.03058
2.91186,1.03359
2.91704,1.03663
2.92224,1.03968
2.92745,1.04275
2.93268,1.04584
2.93792,1.04895
2.94318,1.05208
2.94845,1.05523
2.95374,1.0584
2.95904,1.06158
2.96436,1.06479
2.9697,1.06801
2.97506,1.07126
2.98043,1.07452
2.98581,1.0778
2.99121,1.0811
2.99663,1.08442
3.00207,1.08776
3.00752,1.09112
3.01299,1.0945
3.01848,1.09789
3.02398,1.10131
3.0295,1.10474
3.03504,1.10819
3.0406,1.11167
3.04617,1.11516
3.05176,1.11867
3.05737,1.1222
3.06299,1.12574
3.06863,1.12931
3.0743,1.1329
3.07997,1.1365
3.08567,1.14012
3.09139,1.14377
3.09712,1.14743
3.10287,1.15111
3.10864,1.15481
3.11443,1.15853
3.12024,1.16227
3.12607,1.16603
3.13191,1.1698
3.13778,1.1736
3.14366,1.17741
3.14956,1.18125
3.15548,1.1851
3.16143,1.18897
3.16739,1.19287
3.17337,1.19678
3.17937,1.20071
3.18539,1.20466
3.19142,1.20863
3.19748,1.21262
3.20356,1.21662
3.20966,1.22065
3.21578,1.2247
3.22192,1.22877
3.22808,1.23285
3.23426,1.23696
3.24046,1.24108
3.24669,1.24523
3.25293,1.24939
3.25919,1.25358
3.26548,1.25778
3.27178,1.262
3.27811,1.26625
3.28446,1.27051
3.29083,1.27479
3.29722,1.2791
3.30363,1.28342
3.31007,1.28776
3.31652,1.29212
3.323,1.29651
3.3295,1.30091
3.33602,1.30533
3.34257,1.30978
3.34913,1.31424
3.35572,1.31873
3.36233,1.32323
3.36897,1.32775
3.37562,1.3323
3.3823,1.33686
3.38901,1.34145
3.39573,1.34606
3.40248,1.35068
3.40925,1.35533
3.41605,1.36
3.42287,1.36469
3.42971,1.3694
3.43657,1.37413
3.44346,1.37888
3.45038,1.38366
3.45731,1.38845
3.46427,1.39327
3.47126,1.3981
3.47827,1.40296
3.4853,1.40784
3.49236,1.41274
3.49945,1.41766
3.50655,1.4226
3.51369,1.42757
3.52084,1.43255
3.52803,1.43756
3.53523,1.44259
3.54247,1.44764
3.54972,1.45271
3.55701,1.45781
3.56432,1.46292
3.57165,1.46806
3.57901,1.47322
3.5864,1.4784
3.59381,1.48361
3.60125,1.48884
3.60871,1.49409
3.61621,1.49936
3.62372,1.50465
3.63127,1.50997
3.63884,1.51531
3.64644,1.52067
3.65406,1.52606
3.66171,1.53146
3.66939,1.53689
3.6771,1.54235
3.68483,1.54782
3.69259,1.55332
3.70038,1.55885
3.70819,1.56439
3.71604,1.56996
3.72391,1.57556
3.73181,1.58117
3.73974,1.58681
3.74769,1.59248
3.75568,1.59816
3.76369,1.60387
3.77173,1.60961
3.7798,1.61537
3.7879,1.62115
3.79603,1.62696
3.80419,1.63279
3.81237,1.63865
3.82059,1.64453
3.82884,1.65043
3.83711,1.65636
3.84542,1.66232
3.85375,1.6683
3.86212,1.6743
3.87051,1.68033
3.87894,1.68638
3.88739,1.69246
3.89588,1.69857
3.9044,1.7047
3.91294,1.71085
3.92152,1.71703
3.93013,1.72324
3.93877,1.72947
3.94744,1.73573
3.95615,1.74201
3.96488,1.74832
3.97365,1.75466
3.98244,1.76102
3.99127,1.76741
4.00014,1.77382
4.00903,1.78026
4.01796,1.78673
4.02691,1.79322
4.03591,1.79974
4.04493,1.80629
4.05399,1.81286
4.06308,1.81947
4.0722,1.82609
4.08136,1.83275
4.09055,1.83943
4.09977,1.84614
4.10903,1.85288
4.11832,1.85965
4.12764,1.86644
