y0,y1
2,1
2.00498,0.994995
2.00994,0.99009
2.01487,0.985283
2.01977,0.980572
2.02466,0.975957
2.02952,0.971436
2.03436,0.967008
2.03918,0.962671
2.04398,0.958423
2.04875,0.954265
2.05351,0.950193
2.05824,0.946208
2.06296,0.942308
2.06766,0.938491
2.07234,0.934757
2.077,0.931104
2.08164,0.927532
2.08626,0.924038
2.09087,0.920623
2.09546,0.917285
2.10004,0.914022
2.1046,0.910835
2.10914,0.907721
2.11367,0.90468
2.11818,0.901712
2.12268,0.898814
2.12716,0.895986
2.13163,0.893227
2.13609,0.890537
2.14053,0.887914
2.14497,0.885357
2.14938,0.882866
2.15379,0.88044
2.15819,0.878077
2.16257,0.875778
2.16694,0.873541
2.1713,0.871366
2.17565,0.869251
2.17999,0.867197
2.18432,0.865201
2.18864,0.863265
2.19296,0.861386
2.19726,0.859564
2.20155,0.857799
2.20584,0.856089
2.21011,0.854434
2.21438,0.852834
2.21864,0.851288
2.22289,0.849795
2.22714,0.848354
2.23138,0.846966
2.23561,0.845628
2.23984,0.844341
2.24406,0.843105
2.24827,0.841918
2.25248,0.84078
2.25668,0.83969
2.26088,0.838649
2.26507,0.837654
2.26926,0.836707
2.27344,0.835806
2.27762,0.834951
2.2818,0.834141
2.28597,0.833376
2.29013,0.832655
2.2943,0.831978
2.29846,0.831344
2.30262,0.830754
2.30677,0.830206
2.31093,0.8297
2.31508,0.829235
2.31922,0.828812
2.32337,0.82843
2.32751,0.828087
2.33166,0.827785
2.3358,0.827523
2.33994,0.827299
2.34408,0.827114
2.34822,0.826968
2.35236,0.826859
2.3565,0.826789
2.36063,0.826755
2.36477,0.826758
2.36891,0.826798
2.37305,0.826874
2.37719,0.826986
2.38133,0.827134
2.38547,0.827316
2.38961,0.827534
2.39375,0.827786
2.3979,0.828072
2.40204,0.828393
2.40619,0.828746
2.41034,0.829134
2.41449,0.829554
2.41865,0.830007
2.4228,0.830492
2.42696,0.83101
2.43112,0.831559
2.43529,0.83214
2.43946,0.832753
2.44363,0.833396
2.4478,0.834071
2.45198,0.834776
2.45616,0.835511
2.46035,0.836277
2.46454,0.837072
2.46873,0.837897
2.47293,0.838751
2.47713,0.839635
2.48134,0.840547
2.48555,0.841488
2.48977,0.842458
2.49399,0.843456
2.49822,0.844482
2.50245,0.845536
2.50668,0.846617
2.51093,0.847726
2.51518,0.848863
2.51943,0.850026
2.52369,0.851216
2.52796,0.852433
2.53223,0.853677
2.53651,0.854946
2.54079,0.856242
2.54509,0.857564
2.54939,0.858912
2.55369,0.860285
2.558,0.861684
2.56232,0.863108
2.56665,0.864558
2.57099,0.866032
2.57533,0.867531
2.57968,0.869055
2.58403,0.870603
2.5884,0.872176
2.59277,0.873773
2.59715,0.875394
2.60154,0.877039
2.60594,0.878708
2.61035,0.880401
2.61476,0.882117
2.61919,0.883857
2.62362,0.88562
2.62806,0.887406
2.63251,0.889216
2.63697,0.891048
2.64144,0.892903
2.64592,0.894781
2.65041,0.896681
2.6549,0.898604
2.65941,0.90055
2.66393,0.902517
2.66846,0.904507
2.67299,0.906519
2.67754,0.908553
2.6821,0.910609
2.68667,0.912687
2.69124,0.914786
2.69583,0.916907
2.70043,0.91905
2.70504,0.921213
2.70967,0.923399
2.7143,0.925605
2.71894,0.927833
2.7236,0.930082
2.72826,0.932352
2.73294,0.934642
2.73763,0.936954
2.74233,0.939286
2.74704,0.94164
2.75177,0.944013
2.75651,0.946408
2.76125,0.948823
2.76602,0.951258
2.77079,0.953714
2.77557,0.95619
2.78037,0.958687
2.78518,0.961203
2.79001,0.96374
2.79484,0.966297
2.79969,0.968874
2.80456,0.971471
2.80943,0.974088
2.81432,0.976724
2.81922,0.979381
2.82414,0.982057
2.82906,0.984754
2.83401,0.98747
2.83896,0.990205
2.84393,0.99296
2.84892,0.995735
2.85391,0.998529
2.85893,1.00134
2.86395,1.00418
2.86899,1.00703
2.87405,1.0099
2.87912,1.01279
2.8842,1.0157
2.8893,1.01863
2.89441,1.02158
2.89954,1.02455
2.90468,1.02754
2.90984,1.03055
2.91501,1.03357
2.9202,1.03662
2.9254,1.03968
2.93062,1.04277
2.93586,1.04587
2.94111,1.04899
2.94637,1.05213
2.95166,1.05529
2.95695,1.05847
2.96227,1.06167
2.9676,1.06489
2.97294,1.06813
2.9783,1.07138
2.98368,1.07466
2.98908,1.07795
2.99449,1.08126
2.99992,1.08459
3.00536,1.08794
3.01083,1.09131
3.01631,1.0947
3.0218,1.09811
3.02731,1.10153
3.03284,1.10498
3.03839,1.10844
3.04396,1.11192
3.04954,1.11543
3.05514,1.11895
3.06076,1.12249
3.06639,1.12605
3.07205,1.12962
3.07772,1.13322
3.08341,1.13684
3.08912,1.14047
3.09484,1.14413
3.10059,1.1478
3.10635,1.15149
3.11213,1.1552
3.11793,1.15893
3.12375,1.16268
3.12959,1.16645
3.13545,1.17024
3.14133,1.17404
3.14722,1.17787
3.15313,1.18171
3.15907,1.18558
3.16502,1.18946
3.17099,1.19336
3.17699,1.19729
3.183,1.20123
3.18903,1.20519
3.19508,1.20917
3.20115,1.21317
3.20725,1.21719
3.21336,1.22122
3.21949,1.22528
3.22564,1.22936
3.23182,1.23345
3.23801,1.23757
3.24423,1.24171
3.25046,1.24586
3.25672,1.25004
3.263,1.25423
3.26929,1.25844
3.27561,1.26268
3.28196,1.26693
3.28832,1.27121
3.2947,1.2755
3.30111,1.27981
3.30753,1.28415
3.31398,1.2885
3.32045,1.29287
3.32695,1.29727
3.33346,1.30168
3.34,1.30611
3.34656,1.31057
3.35314,1.31504
3.35974,1.31954
3.36637,1.32405
3.37302,1.32858
3.37969,1.33314
3.38639,1.33772
3.39311,1.34231
3.39985,1.34693
3.40661,1.35157
3.4134,1.35623
3.42021,1.3609
3.42705,1.3656
3.43391,1.37032
3.44079,1.37507
3.44769,1.37983
3.45462,1.38461
3.46158,1.38942
3.46856,1.39424
3.47556,1.39909
3.48259,1.40395
3.48964,1.40884
3.49671,1.41375
3.50381,1.41869
3.51094,1.42364
3.51809,1.42861
3.52526,1.43361
3.53246,1.43863
3.53969,1.44367
3.54694,1.44873
3.55422,1.45381
3.56152,1.45891
3.56885,1.46404
3.5762,1.46919
3.58358,1.47436
3.59098,1.47955
3.59842,1.48477
3.60587,1.49001
3.61336,1.49527
3.62087,1.50055
3.6284,1.50585
3.63597,1.51118
3.64356,1.51653
3.65117,1.5219
3.65882,1.5273
3.66649,1.53272
3.67419,1.53816
3.68191,1.54362
3.68967,1.54911
3.69745,1.55462
3.70526,1.56015
3.71309,1.56571
3.72096,1.57129
3.72885,1.57689
3.73677,1.58252
3.74472,1.58817
3.7527,1.59385
3.7607,1.59954
3.76874,1.60527
3.7768,1.61101
3.78489,1.61678
3.79301,1.62258
3.80116,1.62839
3.80934,1.63424
3.81755,1.6401
3.82579,1.646
3.83406,1.65191
3.84235,1.65785
3.85068,1.66382
3.85904,1.66981
3.86743,1.67582
3.87584,1.68186
3.88429,1.68793
3.89277,1.69402
3.90128,1.70013
3.90982,1.70627
3.91839,1.71244
3.92699,1.71863
3.93563,1.72485
3.94429,1.73109
3.95299,1.73736
3.96171,1.74365
3.97047,1.74997
3.97926,1.75632
3.98808,1.76269
3.99694,1.76909
4.00582,1.77552
4.01474,1.78197
4.02369,1.78845
4.03268,1.79495
4.04169,1.80149
4.05074,1.80804
4.05983,1.81463
4.06894,1.82124
4.07809,1.82788
4.08727,1.83455
4.09649,1.84125
4.10574,1.84797
4.11502,1.85472
4.12434,1.8615
4.13369,1.8683
4.14307,1.87513
4.15249,1.882
4.16194,1.88889
4.17143,1.8958
4.18096,1.90275
4.19051,1.90973
4.20011,1.91673
4.20974,1.92376
4.2194,1.93082
4.2291,1.93791
4.23883,1.94503
4.24861,1.95218
4.25841,1.95936
4.26825,1.96656
4.27813,1.9738
4.28805,1.98107
4.298,1.98836
4.30799,1.99569
4.31801,2.00304
4.32808,2.01043
4.33818,2.01785
4.34831,2.02529
4.35849,2.03277
4.3687,2.04028
4.37895,2.04782
4.38923,2.05539
4.39956,2.06299
4.40992,2.07062
4.42032,2.07828
4.43077,2.08597
4.44124,2.0937
4.45176,2.10146
4.46232,2.10924
4.47291,2.11707
4.48355,2.12492
4.49422,2.1328
4.50494,2.14072
4.51569,2.14867
4.52649,2.15665
4.53732,2.16467
4.5482,2.17271
4.55911,2.18079
4.57007,2.18891
4.58106,2.19706
4.5921,2.20524
4.60318,2.21345
4.6143,2.2217
4.62546,2.22998
4.63666,2.23829
4.64791,2.24664
4.65919,2.25502
4.67052,2.26344
4.68189,2.27189
4.6933,2.28038
4.70476,2.2889
4.71626,2.29746
4.7278,2.30605
4.73939,2.31468
4.75101,2.32334
4.76269,2.33204
4.7744,2.34077
4.78616,2.34954
4.79797,2.35834
4.80981,2.36719
4.8217,2.37606
4.83364,2.38498
4.84562,2.39393
4.85765,2.40291
4.86972,2.41194
4.88184,2.421
4.894,2.4301
4.90621,2.43923
4.91846,2.44841
4.93076,2.45762
4.94311,2.46686
4.9555,2.47615
4.96794,2.48548
4.98043,2.49484
4.99296,2.50424
5.00555,2.51368
5.01817,2.52316
5.03085,2.53268
5.04357,2.54223
5.05635,2.55183
5.06917,2.56146
5.08203,2.57114
5.09495,2.58086
5.10792,2.59061
5.12093,2.60041
5.134,2.61024
5.14711,2.62012
5.16027,2.63003
5.17349,2.63999
5.18675,2.64999
5.20006,2.66003
5.21343,2.67011
5.22684,2.68023
