y0,y1
2,1
2.00499,0.995045
2.00996,0.990114
2.0149,0.985209
2.01982,0.980327
2.02472,0.97547
2.02959,0.970638
2.03443,0.965829
2.03925,0.961045
2.04405,0.956284
2.04883,0.951547
2.05358,0.946834
2.0583,0.942144
2.06301,0.937478
2.06769,0.932835
2.07235,0.928215
2.07698,0.923618
2.08159,0.919044
2.08618,0.914493
2.09075,0.909965
2.09529,0.905459
2.09981,0.900976
2.10431,0.896516
2.10878,0.892077
2.11324,0.887661
2.11767,0.883266
2.12208,0.878894
2.12647,0.874544
2.13083,0.870215
2.13518,0.865908
2.1395,0.861622
2.1438,0.857358
2.14808,0.853115
2.15234,0.848893
2.15658,0.844692
2.1608,0.840512
2.16499,0.836353
2.16917,0.832215
2.17332,0.828098
2.17746,0.824001
2.18157,0.819924
2.18567,0.815868
2.18974,0.811832
2.19379,0.807817
2.19783,0.803821
2.20184,0.799845
2.20583,0.79589
2.20981,0.791953
2.21376,0.788037
2.21769,0.78414
2.22161,0.780263
2.2255,0.776404
2.22938,0.772566
2.23324,0.768746
2.23708,0.764945
2.24089,0.761164
2.24469,0.757401
2.24848,0.753657
2.25224,0.749932
2.25598,0.746225
2.25971,0.742537
2.26342,0.738867
2.2671,0.735216
2.27078,0.731583
2.27443,0.727968
2.27806,0.724371
2.28168,0.720792
2.28528,0.71723
2.28886,0.713687
2.29242,0.710161
2.29597,0.706653
2.29949,0.703163
2.30301,0.699689
2.3065,0.696234
2.30997,0.692795
2.31343,0.689374
2.31688,0.685969
2.3203,0.682582
2.32371,0.679212
2.3271,0.675858
2.33047,0.672521
2.33383,0.669201
2.33717,0.665897
2.3405,0.66261
2.3438,0.65934
2.3471,0.656085
2.35037,0.652847
2.35363,0.649625
2.35687,0.646419
2.3601,0.643229
2.36331,0.640055
2.36651,0.636897
2.36969,0.633755
2.37285,0.630628
2.376,0.627517
2.37913,0.624422
2.38225,0.621342
2.38535,0.618277
2.38844,0.615228
2.39151,0.612194
2.39457,0.609175
2.39761,0.606171
2.40064,0.603182
2.40365,0.600208
2.40664,0.597249
2.40963,0.594304
2.41259,0.591375
2.41555,0.58846
2.41848,0.585559
2.42141,0.582673
2.42432,0.579802
2.42721,0.576944
2.43009,0.574101
2.43296,0.571273
2.43581,0.568458
2.43865,0.565657
2.44147,0.562871
2.44428,0.560098
2.44708,0.557339
2.44986,0.554594
2.45263,0.551862
2.45539,0.549145
2.45813,0.54644
2.46086,0.54375
2.46357,0.541073
2.46627,0.538409
2.46896,0.535758
2.47163,0.533121
2.4743,0.530496
2.47694,0.527885
2.47958,0.525287
2.4822,0.522702
2.48481,0.52013
2.48741,0.517571
2.48999,0.515024
2.49256,0.51249
2.49512,0.509969
2.49767,0.50746
2.5002,0.504964
2.50272,0.502481
2.50523,0.50001
2.50773,0.497551
2.51021,0.495104
2.51268,0.49267
2.51514,0.490247
2.51759,0.487837
2.52003,0.485439
2.52245,0.483053
2.52486,0.480679
2.52726,0.478316
2.52965,0.475966
2.53203,0.473627
2.53439,0.4713
2.53674,0.468984
2.53909,0.46668
2.54142,0.464388
2.54373,0.462107
2.54604,0.459837
2.54834,0.457579
2.55062,0.455332
2.5529,0.453096
2.55516,0.450871
2.55741,0.448658
2.55965,0.446455
2.56188,0.444264
2.5641,0.442083
2.5663,0.439913
2.5685,0.437755
2.57068,0.435607
2.57286,0.433469
2.57502,0.431343
2.57718,0.429226
2.57932,0.427121
2.58145,0.425026
2.58357,0.422942
2.58569,0.420867
2.58779,0.418804
2.58988,0.41675
2.59196,0.414707
2.59403,0.412674
2.59609,0.410651
2.59814,0.408638
2.60018,0.406636
2.60221,0.404643
2.60423,0.40266
2.60624,0.400687
2.60824,0.398724
2.61023,0.396771
2.61221,0.394828
2.61418,0.392894
2.61615,0.39097
2.6181,0.389055
2.62004,0.387151
2.62197,0.385255
2.6239,0.383369
2.62581,0.381493
2.62772,0.379625
2.62961,0.377768
2.6315,0.375919
2.63337,0.37408
2.63524,0.37225
2.6371,0.370429
2.63895,0.368617
2.64079,0.366814
2.64262,0.36502
2.64444,0.363235
2.64626,0.361459
2.64806,0.359692
2.64986,0.357933
2.65164,0.356184
2.65342,0.354443
2.65519,0.352711
2.65695,0.350988
2.65871,0.349273
2.66045,0.347566
2.66219,0.345869
2.66391,0.344179
2.66563,0.342498
2.66734,0.340826
2.66904,0.339162
2.67074,0.337506
2.67242,0.335858
2.6741,0.334219
2.67577,0.332588
2.67743,0.330965
2.67908,0.32935
2.68072,0.327743
2.68236,0.326144
2.68399,0.324554
2.68561,0.322971
2.68722,0.321396
2.68883,0.319829
2.69042,0.318269
2.69201,0.316718
2.69359,0.315174
2.69517,0.313638
2.69673,0.31211
2.69829,0.310589
2.69984,0.309076
2.70138,0.30757
2.70292,0.306072
2.70445,0.304582
2.70597,0.303098
2.70748,0.301623
2.70899,0.300154
2.71049,0.298693
2.71198,0.297239
2.71346,0.295793
2.71494,0.294354
2.71641,0.292921
2.71787,0.291497
2.71933,0.290079
2.72077,0.288668
2.72222,0.287264
2.72365,0.285868
2.72508,0.284478
2.7265,0.283095
2.72791,0.281719
2.72932,0.28035
2.73072,0.278988
2.73211,0.277633
2.7335,0.276284
2.73488,0.274942
2.73625,0.273607
2.73761,0.272278
2.73897,0.270956
2.74033,0.269641
2.74167,0.268332
2.74301,0.26703
2.74435,0.265735
2.74567,0.264445
2.74699,0.263163
2.74831,0.261886
2.74961,0.260616
2.75091,0.259353
2.75221,0.258095
2.7535,0.256844
2.75478,0.255599
2.75606,0.254361
2.75733,0.253128
2.75859,0.251902
2.75985,0.250682
2.7611,0.249468
2.76235,0.24826
2.76358,0.247058
2.76482,0.245862
2.76605,0.244672
2.76727,0.243488
2.76848,0.24231
2.76969,0.241138
2.7709,0.239971
2.7721,0.238811
2.77329,0.237656
2.77447,0.236507
2.77565,0.235364
2.77683,0.234226
2.778,0.233094
2.77916,0.231968
2.78032,0.230847
2.78147,0.229732
2.78262,0.228623
2.78376,0.227519
2.7849,0.22642
2.78603,0.225328
2.78715,0.22424
2.78827,0.223158
2.78939,0.222081
2.7905,0.22101
2.7916,0.219944
2.7927,0.218884
2.79379,0.217828
2.79488,0.216778
2.79596,0.215734
2.79704,0.214694
2.79811,0.21366
2.79918,0.21263
2.80024,0.211606
2.80129,0.210587
2.80235,0.209574
2.80339,0.208565
2.80443,0.207561
2.80547,0.206562
2.8065,0.205569
2.80753,0.20458
2.80855,0.203596
2.80957,0.202617
2.81058,0.201643
2.81158,0.200674
2.81259,0.199709
2.81358,0.19875
2.81458,0.197795
2.81556,0.196845
2.81655,0.1959
2.81752,0.194959
2.8185,0.194023
2.81947,0.193092
2.82043,0.192166
2.82139,0.191244
2.82234,0.190327
2.82329,0.189414
2.82424,0.188506
2.82518,0.187602
2.82612,0.186703
2.82705,0.185808
2.82798,0.184918
2.8289,0.184033
2.82982,0.183151
2.83073,0.182274
2.83164,0.181402
2.83255,0.180534
2.83345,0.17967
2.83435,0.17881
2.83524,0.177955
2.83613,0.177104
2.83701,0.176258
2.83789,0.175415
2.83877,0.174577
2.83964,0.173743
2.84051,0.172913
2.84137,0.172087
2.84223,0.171266
2.84309,0.170448
2.84394,0.169635
2.84478,0.168825
2.84563,0.16802
2.84647,0.167219
2.8473,0.166421
2.84813,0.165628
2.84896,0.164839
2.84978,0.164053
2.8506,0.163272
2.85142,0.162494
2.85223,0.16172
2.85304,0.16095
2.85384,0.160184
2.85464,0.159422
2.85543,0.158664
2.85623,0.157909
2.85702,0.157158
